DATE,United Kingdom
2000-01-01,28280.926786099
2001-01-01,27906.5695029641
2002-01-01,30077.741432188
2003-01-01,34442.6875402308
2004-01-01,40366.8886650968
2005-01-01,42104.7884375024
2006-01-01,44512.4590296865
2007-01-01,50397.6854954706
2008-01-01,47396.1202078484
2009-01-01,38744.131693043
2010-01-01,39598.957119545
2011-01-01,42109.6418795749
2012-01-01,42497.3404974322
2013-01-01,43426.2981405143
2014-01-01,47439.6165895125
2015-01-01,44964.3911437292
2016-01-01,40985.2351382417
2017-01-01,40572.1214823783
2018-01-01,43203.8141057739
2019-01-01,42662.5353740311
2020-01-01,40217.0090116986
2021-01-01,46869.759058411
2022-01-01,46125.2557513568
