DATE,A229RX0
2010-01-01,39838.000000000000
2010-04-01,40423.333333333333
2010-07-01,40556.333333333333
2010-10-01,40622.000000000000
2011-01-01,40957.333333333333
2011-04-01,40802.000000000000
2011-07-01,40932.333333333333
2011-10-01,40939.000000000000
2012-01-01,41493.333333333333
2012-04-01,41697.666666666667
2012-07-01,41281.333333333333
2012-10-01,42342.000000000000
2013-01-01,40598.666666666667
2013-04-01,40837.000000000000
2013-07-01,40894.000000000000
2013-10-01,40863.333333333333
2014-01-01,41265.666666666667
2014-04-01,41708.666666666667
2014-07-01,42009.666666666667
2014-10-01,42516.666666666667
2015-01-01,43027.333333333333
2015-04-01,43079.333333333333
2015-07-01,43228.333333333333
2015-10-01,43380.666666666667
2016-01-01,43655.000000000000
2016-04-01,43489.666666666667
2016-07-01,43647.000000000000
2016-10-01,43845.666666666667
2017-01-01,44233.000000000000
2017-04-01,44647.000000000000
2017-07-01,44878.000000000000
2017-10-01,45080.333333333333
2018-01-01,45497.666666666667
2018-04-01,45845.333333333333
2018-07-01,46256.333333333333
2018-10-01,46629.000000000000
2019-01-01,47114.000000000000
2019-04-01,47026.000000000000
2019-07-01,47280.333333333333
2019-10-01,47484.000000000000
2020-01-01,47724.000000000000
2020-04-01,52414.333333333333
2020-07-01,50546.333333333333
2020-10-01,49525.333333333333
2021-01-01,55355.000000000000
2021-04-01,51050.666666666667
2021-07-01,50318.666666666667
2021-10-01,49544.666666666667
2022-01-01,48251.000000000000
2022-04-01,48031.000000000000
2022-07-01,48393.333333333333
2022-10-01,48591.666666666667
2023-01-01,49806.666666666667
2023-04-01,50151.333333333333
2023-07-01,50143.333333333333
2023-10-01,50342.000000000000
